,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,"[1, 20, 0.1338698808166081, 0.5469167411327363, 0.5372326463460922, 0.48998531699180603]","[1, 40, 0.14964015806621483, 0.5492516547441483, 0.5373798668384552, 0.4956717550754547]","[1, 60, 0.18504071945444495, 0.511902067065239, 0.5496818780899048, 0.49042612612247466]","[1, 80, 0.18462738351920224, 0.4878737837076187, 0.5494291543960571, 0.48834493160247805]","[1, 100, 0.19407429096089077, 0.5110291063785553, 0.5580610573291779, 0.49848090708255766]","[1, 120, 0.20757173041777982, 0.4973464757204056, 0.5448690354824066, 0.48381381928920747]","[1, 140, 0.24924380640769464, 0.5130406260490418, 0.5401754260063172, 0.4890648812055588]","[1.5, 20, 0.18556111888148188, 0.5479455381631851, 0.5556214213371277, 0.496428981423378]","[1.5, 40, 0.323169025064343, 0.4056509405374527, 0.5306036233901977, 0.4365979254245758]","[1.5, 60, 0.38828668485633844, 0.41722241044044495, 0.5596084624528885, 0.4574939340353012]","[1.5, 80, 0.3190646564776062, 0.4175656884908676, 0.5303623080253601, 0.44702567160129547]","[1.5, 100, 0.4081910205050489, 0.4201338917016983, 0.5501406133174896, 0.45387794375419616]","[1.5, 120, 0.42087198672148307, 0.4214273810386658, 0.5338097214698792, 0.4443743020296097]","[1.5, 140, 0.42605670935451007, 0.4275604099035263, 0.5324670970439911, 0.4460055500268936]","[2, 20, 0.29567227420467845, 0.4461561143398285, 0.5684132307767868, 0.4847129642963409]","[2, 40, 0.3770215561301588, 0.40278024077415464, 0.5414609313011169, 0.4462587028741837]","[2, 60, 0.3941954426787251, 0.4114397317171097, 0.5321435987949371, 0.4451363980770111]","[2, 80, 0.4422500987535902, 0.4095478743314743, 0.5039316654205322, 0.42656352519989016]","[2, 100, 0.4422128646528337, 0.3917622834444046, 0.5091974228620529, 0.41528697609901427]","[2, 120, 0.4666658649558147, 0.41449099183082583, 0.5022285044193268, 0.42358713746070864]","[2, 140, 0.428591434597182, 0.4029781848192215, 0.5039481550455094, 0.4157123535871506]","[2.5, 20, 0.3589864485095147, 0.4449075907468796, 0.5890812039375305, 0.48465114533901216]","[2.5, 40, 0.3684579798845808, 0.3952153354883194, 0.5342855453491211, 0.438140669465065]","[2.5, 60, 0.4089072088969637, 0.3986346274614334, 0.525066363811493, 0.42160512804985045]","[2.5, 80, 0.4724256589708601, 0.4029173254966736, 0.48894100189208983, 0.4109632819890976]","[2.5, 100, 0.5130762398539601, 0.38711297810077666, 0.4877483397722244, 0.40133432745933534]","[2.5, 120, 0.4488725248047537, 0.387289771437645, 0.48683162331581115, 0.4063373148441315]","[2.5, 140, 0.4682770405492985, 0.39061884880065917, 0.47439479529857637, 0.3987287223339081]","[3, 20, 0.3383615730495521, 0.4166592001914978, 0.5505297273397446, 0.4545491337776184]","[3, 40, 0.3924169559056191, 0.39774616360664367, 0.5325215876102447, 0.4320737600326538]","[3, 60, 0.44606464864855616, 0.39758825600147246, 0.5101481229066849, 0.4288848876953125]","[3, 80, 0.48571402874875436, 0.39327441453933715, 0.49671122431755066, 0.4125214248895645]","[3, 100, 0.4701155042633725, 0.38550628125667574, 0.4948697417974472, 0.4092007130384445]","[3, 120, 0.5181046821399636, 0.39914709627628325, 0.4740380018949509, 0.4075292646884918]","[3, 140, 0.46498502921974855, 0.38385753333568573, 0.4789100527763367, 0.41171938478946685]","[3.5, 20, 0.33983522474592553, 0.4259464472532272, 0.5538438141345978, 0.4657603442668915]","[3.5, 40, 0.38890555069289634, 0.415696519613266, 0.5337752819061279, 0.44214302897453306]","[3.5, 60, 0.4744288234242052, 0.39408826231956484, 0.4768537223339081, 0.4101224273443222]","[3.5, 80, 0.479261599168186, 0.3953691452741623, 0.48106147944927213, 0.40984525382518766]","[3.5, 100, 0.4901142374781277, 0.3799922466278076, 0.4608040422201157, 0.3847315967082977]","[3.5, 120, 0.5165696192704806, 0.3990794777870178, 0.4801364928483963, 0.40748671889305116]","[3.5, 140, 0.48375389820245884, 0.39310607612133025, 0.44347800612449645, 0.39674619436264036]","[4, 20, 0.3507542558626751, 0.405321279168129, 0.541124626994133, 0.4508771330118179]","[4, 40, 0.3937649492609348, 0.3807177096605301, 0.5226456075906754, 0.41174831092357633]","[4, 60, 0.4356632799704923, 0.3916002005338669, 0.5088653832674026, 0.424597704410553]","[4, 80, 0.5087674875041774, 0.4027024030685425, 0.47429683804512024, 0.40333066284656527]","[4, 100, 0.48267726742887096, 0.40452367067337036, 0.4725468337535858, 0.4080978065729141]","[4, 120, 0.523056738487202, 0.4072088748216629, 0.4996781021356583, 0.4164186120033264]","[4, 140, 0.4574561611595849, 0.3781907856464386, 0.4831568688154221, 0.3936528623104095]"
1,"[1, 20, 0.21545669589717992, 0.6389021396636962, 0.6662726879119873, 0.6327858924865722]","[1, 40, 0.2916999061435356, 0.5976300895214081, 0.6943731963634491, 0.6152469158172608]","[1, 60, 0.280970814740776, 0.5596167147159576, 0.6676756918430329, 0.5917602956295014]","[1, 80, 0.2755328076813849, 0.6118991374969482, 0.6833508372306824, 0.6379650592803955]","[1, 100, 0.3073743479317705, 0.5620124399662018, 0.6899673759937286, 0.6069561183452606]","[1, 120, 0.3151584065496753, 0.5449013233184814, 0.6480360865592957, 0.577174824476242]","[1, 140, 0.3248919816349018, 0.5737408131361008, 0.7108511865139008, 0.6261140525341033]","[1.5, 20, 0.36410258410510343, 0.5608027338981628, 0.6790680110454559, 0.6006318151950836]","[1.5, 40, 0.4167688333557106, 0.540223628282547, 0.6841524541378021, 0.5922159552574158]","[1.5, 60, 0.5023633889608827, 0.48197131752967837, 0.6432878613471985, 0.5276199102401733]","[1.5, 80, 0.48871901568526965, 0.4910315304994583, 0.6536927223205566, 0.540783143043518]","[1.5, 100, 0.530701906349281, 0.47024203538894654, 0.6463299214839935, 0.5201651006937027]","[1.5, 120, 0.49661666583349795, 0.48053707778453825, 0.6160726606845855, 0.5252632796764374]","[1.5, 140, 0.45446276667321345, 0.48027896583080293, 0.6233404397964477, 0.5236632913351059]","[2, 20, 0.39886367590662236, 0.5518309295177459, 0.6775473594665528, 0.5883119404315948]","[2, 40, 0.49324647455868825, 0.49678030908107756, 0.6866553664207459, 0.5521424829959869]","[2, 60, 0.5341051871353615, 0.48462256193161013, 0.6047366380691528, 0.514459353685379]","[2, 80, 0.5410917987969089, 0.44950444996356964, 0.6159783840179444, 0.5007992208003997]","[2, 100, 0.5684334945243436, 0.43625472486019135, 0.591062068939209, 0.4828528672456741]","[2, 120, 0.5749619500602006, 0.42839100658893586, 0.5747641921043396, 0.4761110872030258]","[2, 140, 0.6093953918904127, 0.43142949640750883, 0.5926206260919571, 0.4789362013339996]","[2.5, 20, 0.4629267863074696, 0.5000180214643478, 0.6498959362506866, 0.541801655292511]","[2.5, 40, 0.5671124553843606, 0.4902485251426697, 0.6286579132080078, 0.5296124964952469]","[2.5, 60, 0.6027046504539394, 0.4537226051092148, 0.5771448999643326, 0.4770610749721527]","[2.5, 80, 0.6371682547015992, 0.4393607616424561, 0.5517436623573303, 0.46266262233257294]","[2.5, 100, 0.6158118981354368, 0.4222232162952423, 0.5566906660795212, 0.4586161136627197]","[2.5, 120, 0.604702672312574, 0.42560319006443026, 0.5554327130317688, 0.4688198626041412]","[2.5, 140, 0.6486572447881682, 0.42384929656982423, 0.5423553317785264, 0.4548789829015732]","[3, 20, 0.49031342860653393, 0.5239434272050858, 0.6465872645378112, 0.5521831750869751]","[3, 40, 0.5239237974892624, 0.4470839351415634, 0.6186178863048554, 0.49128336906433107]","[3, 60, 0.5810383658361234, 0.4343983203172684, 0.5764861047267914, 0.4790900439023972]","[3, 80, 0.6394632236045169, 0.4317720502614975, 0.539520937204361, 0.45637226998806]","[3, 100, 0.6589085228536623, 0.4326860636472702, 0.5290067493915558, 0.449355936050415]","[3, 120, 0.6499847808298481, 0.4173223406076431, 0.5296667724847793, 0.44736096262931824]","[3, 140, 0.6169568364660861, 0.41206773519515993, 0.5029187679290772, 0.4321354031562805]","[3.5, 20, 0.5133301529774577, 0.5213699042797089, 0.6686886310577392, 0.5585218280553818]","[3.5, 40, 0.6183920041285008, 0.45653117299079893, 0.6029913514852524, 0.49938757717609406]","[3.5, 60, 0.6162807990618476, 0.4376738369464874, 0.5654987215995788, 0.4688458651304245]","[3.5, 80, 0.6689298466087985, 0.4303635209798813, 0.5242765367031097, 0.4486109524965286]","[3.5, 100, 0.6464451619434787, 0.40577828884124756, 0.5377623051404953, 0.4441163748502731]","[3.5, 120, 0.623637643619759, 0.41554075479507446, 0.5243295460939408, 0.4469786524772644]","[3.5, 140, 0.6378185762644432, 0.42115156948566435, 0.5388709962368011, 0.44841871559619906]","[4, 20, 0.5694927437350363, 0.4960038334131241, 0.6171289563179017, 0.5177870035171509]","[4, 40, 0.6306447509877595, 0.44161259233951566, 0.5634272694587708, 0.4707516312599182]","[4, 60, 0.6173772779056029, 0.44950438737869264, 0.5739351570606231, 0.47205289602279665]","[4, 80, 0.6534250762773168, 0.4289953887462616, 0.537542524933815, 0.45239998400211334]","[4, 100, 0.6254061849164991, 0.4129594475030899, 0.5033528238534928, 0.4338731557130814]","[4, 120, 0.6585534734963411, 0.42312789559364317, 0.5640474677085876, 0.4648836702108383]","[4, 140, 0.6327118929662605, 0.41191481351852416, 0.4926949292421341, 0.42667599618434904]"
2,"[1, 20, 0.2574409139363283, 0.6140360116958619, 0.734003233909607, 0.6301154613494873]","[1, 40, 0.34713930696122797, 0.6169904589653015, 0.7334589481353759, 0.630473130941391]","[1, 60, 0.31317232268757017, 0.6220831155776978, 0.7636995911598206, 0.6399034857749939]","[1, 80, 0.3992156308055163, 0.5712226599454879, 0.7152392208576203, 0.6004639983177185]","[1, 100, 0.3662792322279178, 0.5888321161270141, 0.7509053826332093, 0.6247308492660523]","[1, 120, 0.36946929951483476, 0.5637445151805878, 0.7322735071182251, 0.5949827432632446]","[1, 140, 0.3683159511391617, 0.594024395942688, 0.727053827047348, 0.6140346586704254]","[1.5, 20, 0.43911860805012226, 0.5841611504554749, 0.7672206699848175, 0.6122204244136811]","[1.5, 40, 0.47634712976103427, 0.5539819478988648, 0.7003140091896057, 0.5693062305450439]","[1.5, 60, 0.5776263232646793, 0.5076457768678665, 0.7291327536106109, 0.561543345451355]","[1.5, 80, 0.5797324432078808, 0.5068599313497544, 0.6611452579498291, 0.5249428689479828]","[1.5, 100, 0.5398786981519482, 0.49611065089702605, 0.6637232959270477, 0.5369349032640457]","[1.5, 120, 0.5996558879552121, 0.4922016620635986, 0.6955426335334778, 0.5508195191621781]","[1.5, 140, 0.6884692381233799, 0.48724581599235534, 0.6241966545581817, 0.5055322706699371]","[2, 20, 0.47868299217792976, 0.537649753689766, 0.7509402394294739, 0.5771190226078033]","[2, 40, 0.5739756363830131, 0.5099881500005722, 0.721086061000824, 0.5557261824607849]","[2, 60, 0.7243556231075836, 0.4821218580007553, 0.6601814806461335, 0.499828964471817]","[2, 80, 0.7227855637229893, 0.4778205543756485, 0.6111665189266204, 0.4825986236333847]","[2, 100, 0.6884000907079038, 0.46761800944805143, 0.613223671913147, 0.47825356721878054]","[2, 120, 0.7434828287376682, 0.4550764948129654, 0.5699842035770416, 0.4628928333520889]","[2, 140, 0.7320366976281166, 0.45790248811244966, 0.5825350254774093, 0.4610759824514389]","[2.5, 20, 0.5583368621851916, 0.5145470559597015, 0.6919869899749755, 0.5484498381614685]","[2.5, 40, 0.6375234189862132, 0.48874849677085874, 0.6529673874378205, 0.5042300254106522]","[2.5, 60, 0.7436225076318232, 0.4599941700696945, 0.6693874657154083, 0.4977371901273727]","[2.5, 80, 0.7022397037070236, 0.4725710302591324, 0.6374748885631562, 0.4881114989519119]","[2.5, 100, 0.7256646143674205, 0.44371306598186494, 0.5647859334945678, 0.452338045835495]","[2.5, 120, 0.7187941017603395, 0.43906059563159944, 0.5685142874717712, 0.4476222783327103]","[2.5, 140, 0.7985529093670275, 0.4552162021398544, 0.5291604071855545, 0.4468704044818878]","[3, 20, 0.596867703142206, 0.5186920493841172, 0.6549530982971191, 0.5403543263673782]","[3, 40, 0.6862776131307611, 0.48663130700588225, 0.6063452214002609, 0.48643650114536285]","[3, 60, 0.6628094569165917, 0.4961826324462891, 0.6342335402965545, 0.5029943943023681]","[3, 80, 0.734982378974621, 0.4579284191131592, 0.5640983045101166, 0.4648799240589142]","[3, 100, 0.7687907114925632, 0.4469780921936035, 0.518367412686348, 0.4501270741224289]","[3, 120, 0.7839482410952636, 0.43949333131313323, 0.5400424718856811, 0.4451507329940796]","[3, 140, 0.7756827087107244, 0.45065597593784334, 0.5220056563615799, 0.4524775445461273]","[3.5, 20, 0.6097127775415886, 0.5132924616336823, 0.6549493253231049, 0.5366720676422119]","[3.5, 40, 0.6998593484906024, 0.4788100689649582, 0.6222231090068817, 0.48107476234436036]","[3.5, 60, 0.8242183757162185, 0.45161289274692534, 0.5698519796133041, 0.45592659413814546]","[3.5, 80, 0.78513263398402, 0.45342446565628053, 0.5607247292995453, 0.4485506802797318]","[3.5, 100, 0.7604666742031865, 0.45744762718677523, 0.5224701911211014, 0.44910083115100863]","[3.5, 120, 0.7977012317169542, 0.436605167388916, 0.5397695392370224, 0.4418520241975784]","[3.5, 140, 0.8175390367005649, 0.4546185702085495, 0.5299533247947693, 0.4463817417621613]","[4, 20, 0.6351771196096287, 0.49502952098846437, 0.6588377177715301, 0.5073945671319962]","[4, 40, 0.7508161765400453, 0.44979760646820066, 0.6180642187595368, 0.4563800275325775]","[4, 60, 0.786233890704327, 0.4835416257381439, 0.6026708602905273, 0.49603745639324187]","[4, 80, 0.748958438257728, 0.4428791791200638, 0.586498174071312, 0.4480473965406418]","[4, 100, 0.7957454768257988, 0.44857468605041506, 0.5461628586053848, 0.44396679997444155]","[4, 120, 0.8049372114898047, 0.4321924477815628, 0.5069641947746277, 0.4319092929363251]","[4, 140, 0.8174197020788971, 0.43359164595603944, 0.5333916902542114, 0.4368297874927521]"
