,0,1,2,3,4
0,1.0,20,0.4892312491042511,0.630210305688,0.6833049063303344
1,1.0,40,0.524410525578056,0.5946082898481166,0.8175330997923143
2,1.0,60,0.616663937173679,0.6253272448662262,0.7529694118968668
3,1.0,80,0.5414171534199126,0.6461700932661227,0.818517328442138
4,1.0,100,0.5104579860930867,0.5756943253938667,0.7380934856076783
5,1.0,120,0.5279915656790846,0.6508505389798189,0.6799944980464167
6,1.0,140,0.5023601924708916,0.664957292136883,0.7122391922488082
7,1.5,20,0.5851718341896924,0.6839061148116617,0.8152027359029848
8,1.5,40,0.5489141608162261,0.6433657504195691,0.8126225639758484
9,1.5,60,0.5851652400033761,0.6602674424047471,0.7549825821002024
10,1.5,80,0.5257336873393894,0.693864174134526,0.8111451791142971
11,1.5,100,0.5751974596706106,0.6449577934016203,0.7935659013188355
12,1.5,120,0.5538074704125222,0.6658340381379585,0.7838609317335858
13,1.5,140,0.5440995201974429,0.6418109908713856,0.834771643688194
14,2.0,20,0.5496041230223803,0.6698927028597047,0.8401151544385165
15,2.0,40,0.49908774776031073,0.6724060339204144,0.8404521539439465
16,2.0,60,0.5607798658345914,0.6762775092039478,0.8407859845426531
17,2.0,80,0.5520650194829692,0.6550805203754416,0.8657402216080244
18,2.0,100,0.5353612604068182,0.6443295503759602,0.8622954701865465
19,2.0,120,0.5376231088537812,0.5870891138669989,0.8410903552743271
20,2.0,140,0.5137157609750408,0.6394186652090346,0.8703647671979333
21,2.5,20,0.5525998156947367,0.6656028507588428,0.8800668797385605
22,2.5,40,0.5610519895488227,0.632207977107765,0.8720942738119459
23,2.5,60,0.5030649781960769,0.6517396064943101,0.8745456776231849
24,2.5,80,0.5973043487947194,0.6241672145647924,0.7685781505447217
25,2.5,100,0.5565255649478551,0.6361195814271046,0.8720975173447906
26,2.5,120,0.527212177033336,0.6391707271728683,0.8152603741575459
27,2.5,140,0.4931593969882238,0.6329859460358198,0.8599629715513938
28,3.0,20,0.46270072264255785,0.6314942354788384,0.8699069103628
29,3.0,40,0.5725213105592645,0.6552707392092346,0.8448715804140656
30,3.0,60,0.55252945796889,0.6602531742330076,0.8674835583468189
31,3.0,80,0.5768258661862632,0.6183055122182358,0.8549029847560226
32,3.0,100,0.5398413753897546,0.5912625641230601,0.8546942060581841
33,3.0,120,0.5547484440252477,0.6678323439939976,0.8081233001033692
34,3.0,140,0.5455335642836724,0.5600884256209111,0.8187784188063635
35,3.5,20,0.5938417752217963,0.6454366709640289,0.8630487408807651
36,3.5,40,0.5670574715468188,0.5974565865185328,0.8662869003720081
37,3.5,60,0.5586601583687811,0.6478733869163859,0.8328739991952305
38,3.5,80,0.4916893713333078,0.6452099339074916,0.822352343562349
39,3.5,100,0.5135703757753184,0.6427751480833924,0.8684596860145817
40,3.5,120,0.5094796515841298,0.6677015016843538,0.8511078714609747
41,3.5,140,0.5311468353594873,0.569328757611761,0.8714622588745561
42,4.0,20,0.5752443799540529,0.7118087235865882,0.8733157717364101
43,4.0,40,0.585648136919567,0.6727417744476943,0.8562232923245944
44,4.0,60,0.5626895453898308,0.6622904821427891,0.8535892074295587
45,4.0,80,0.5724530619144269,0.6610973565076586,0.8570471124067038
46,4.0,100,0.48437280233678964,0.5626852567028067,0.849593316298099
47,4.0,120,0.5188155286923898,0.6005525308114453,0.8417538827874402
48,4.0,140,0.5294264102486483,0.6255179447276243,0.8091348546354332
